Generation,Rep,MeanRSC,MeanMates,cor,MeanCount,MeanMale,MeanFemale,RSC_Mates_Diff,RSC_Mates_Ratio
96.0,1.0,1.0029633663468174,1.085,0.9140055256072906,1.1178948147676424,1.1322524464048769,1.2044157032374985,-0.08203663365318259,1.081794247333272
97.0,1.0,1.0035729646044849,1.07,0.9179676194408848,1.115240673920723,1.2089656337301848,1.279143077745923,-0.0664270353955152,1.066190538942721
98.0,1.0,1.0012929895215856,1.105,0.8911644429936008,1.1349381470936712,1.3657494620726922,1.32501702028819,-0.10370701047841435,1.1035730915563138
99.0,1.0,1.002835189505276,1.01,0.8898470711238275,1.108335779761792,1.2964993564600231,1.2465917424142432,-0.00716481049472395,1.0071445543292696
100.0,1.0,1.003117484072928,1.1,0.8043769378924803,1.1295615339896818,1.2545294659362198,1.3095431772113892,-0.09688251592707209,1.096581424873289
1.0,2.0,2.047858780380157,2.24,-0.0233711383660474,50.38797483567701,49.51020160630715,49.22449649890103,-0.1921412196198431,1.0938254246145698
2.0,2.0,1.797787289651634,1.79,0.8785962910427688,37.09358606536904,37.89860868734775,38.701978082774325,0.0077872896516339996,0.9956684032107364
3.0,2.0,1.831972178113348,1.75,0.919481270596136,28.81863087488334,29.6860169601853,31.1828327092818,0.081972178113348,0.9552546817617248
4.0,2.0,1.654041577421545,1.625,0.9081657202588872,21.84172558130414,22.33857820612629,24.125514538088947,0.029041577421544895,0.9824420511443145
5.0,2.0,1.4801439291334362,1.565,0.9036243131339734,17.64430205510704,18.59366923933395,19.92235010572393,-0.08485607086656377,1.0573296077471626
6.0,2.0,1.391673068928136,1.42,0.8747894356345868,14.871673904314516,14.785280120547831,16.959014548918528,-0.028326931071863903,1.0203545873699211
7.0,2.0,1.3293187506345878,1.335,0.8533644735350816,11.3067594572784,11.921417176224972,13.096569198040235,-0.005681249365412144,1.0042738051823161
8.0,2.0,1.215431801842087,1.16,0.8118805878318388,8.57337567467499,9.242110309993514,10.301015695591875,0.05543180184208718,0.9543933260935943
9.0,2.0,1.2341451607490963,1.245,0.8535718080863216,8.003822056291904,8.720631692282627,9.654164946805404,-0.010854839250903803,1.0087954315230756
10.0,2.0,1.268343295751616,1.245,0.8300240675806382,6.686805883140583,7.362408783238425,8.187275141185626,0.023343295751615978,0.9815954435760369
11.0,2.0,1.2153451639650428,1.19,0.8776422789764943,5.997425028280909,5.905196649099237,7.364268221718622,0.025345163965042827,0.9791457071484494
12.0,2.0,1.1954733802513366,1.23,0.8704260807797431,5.329358456256591,4.8851354450091575,6.2545466119078,-0.034526619748663334,1.0288811280276307
13.0,2.0,1.202882360160242,1.22,0.8721358079156113,4.768914967692638,4.8472931591003166,5.858316938153731,-0.017117639839757892,1.0142305186331584
14.0,2.0,1.1620414236192187,1.225,0.8926594693631583,4.533845194431854,4.238884153508866,5.239437258657833,-0.0629585763807814,1.0541792875031035
15.0,2.0,1.1466744999303051,1.09,0.9116979762483326,4.734383833569813,4.190570072210602,5.174676051759848,0.056674499930305045,0.9505749016536518
16.0,2.0,1.149541703164639,1.115,0.902233037316267,4.090176845826802,3.625856157336537,4.889397906195197,0.034541703164639115,0.9699517615850323
17.0,2.0,1.12781578688957,1.11,0.911452096252494,4.190504564349568,4.153890642407359,5.081679346231628,0.017815786889569862,0.9842032829326637
18.0,2.0,1.1413843025945856,1.145,0.9095651245201176,4.199096731103699,4.208024614480068,5.139701697348937,-0.003615697405414453,1.0031678177080194
19.0,2.0,1.097888752121665,1.145,0.9331999788822134,4.063865115495335,3.7035011453573823,4.622277956865243,-0.047111247878335094,1.0429107664936843
20.0,2.0,1.0742907921546443,1.09,0.929269000762736,4.11852530810101,4.066220871575275,4.623861250951332,-0.015709207845355788,1.0146228637163024
21.0,2.0,1.0766222790395847,1.095,0.928670661748626,3.988275176851181,3.639272848776035,4.248298911486819,-0.018377720960415234,1.0170697944099851
22.0,2.0,1.0876454957615358,1.145,0.9072558740435116,3.953577064770619,3.486574240930252,4.168142315207896,-0.05735450423846422,1.0527327189437827
23.0,2.0,1.095422372262971,1.035,0.9328356853513292,4.539319359087928,3.6903640702767166,4.333034093924133,0.06042237226297109,0.9448410277232626
24.0,2.0,1.1112434667415476,1.055,0.9287035231399492,4.105157621314232,3.736499596152421,4.499791743290846,0.056243466741547676,0.9493869089674218
25.0,2.0,1.0754901182795191,1.28,0.9181775749602262,3.8617499427680606,3.879610683835698,4.489043026078532,-0.2045098817204809,1.1901550541883537
